Título Original,Duración,Género,Sinopsis
Beautiful Boy,111,Drama,"Crónica sobre la adicción a la metanfetamina de un chico adolescente y sus intentos por salir de la droga, a través de los ojos de su padre, que observa impotente a su hijo mientras lucha contra la enfermedad de la drogodependencia. (FILMAFFINITY)"
Elemental,101,"Animación, Aventuras, Romance, Fantástico, Comedia, Drama","Ambientada en Ciudad Elemento, donde conviven habitantes de fuego, agua, tierra y aire. La protagonista de la historia es Candela, una joven fuerte, ingeniosa y con carácter, cuya amistad con un chico sensible, afable y tranquilo, llamado Nilo, cambia su perspectiva sobre el mundo en el que viven. (FILMAFFINITY)"
War for the Planet of the Apes,142,"Ciencia ficción, Aventuras, Bélico","César y sus monos son forzados a encarar un conflicto mortal contra un ejército de humanos liderado por un brutal coronel. Después de sufrir pérdidas enormes, César lucha con sus instintos más oscuros en una búsqueda por vengar a su especie. Cuando finalmente se encuentren, Cesar y el Coronel protagonizarán una batalla que pondrá en juego el futuro de ambas especies y el del mismo planeta. Tercera película de la nueva saga de 'El Planeta de los Simios'. (FILMAFFINITY)"
Thor: Ragnarok,130,"Fantástico, Acción, Aventuras, Comedia","Thor está preso al otro lado del universo sin su poderoso martillo y se enfrenta a una carrera contra el tiempo. Su objetivo es volver a Asgard y parar el Ragnarok porque significaría la destrucción de su planeta natal y el fin de la civilización Asgardiana a manos de una todopoderosa y nueva amenaza, la implacable Hela. Pero, primero deberá sobrevivir a una competición letal de gladiadores que lo enfrentará a su aliado y compañero en los Vengadores, ¡el Increíble Hulk!. (FILMAFFINITY)"
The Shape of Water,119,"Fantástico, Drama, Romance, Thriller","En un inquietante laboratorio de alta seguridad, durante la Guerra Fría, se produce una conexión insólita entre dos mundos aparentemente alejados. La vida de la solitaria Elisa (Sally Hawkins), que trabaja como limpiadora en el laboratorio, cambia por completo cuando descubre un experimento clasificado como secreto: un hombre anfibio (Doug Jones) que se encuentra ahí recluido. (FILMAFFINITY)"
The Hunger Games: Catching Fire,146,"Ciencia ficción, Aventuras","Tras vencer en los 74º Juegos del Hambre anuales, la joven Katniss Everdeen y su compañero Peeta Mellark regresan a casa. Atrás dejaron a sus amigos y su familia, teniendo ambos que participar en un 'tour de la victoria' por todos los distritos. Durante ese largo viaje, Katniss se da cuenta de que se está gestando una rebelión, pero en el Capitolio todo sigue igual y bajo estricto control del Presidente Snow, que está organizando los 75º Juegos del Hambre, denominados 'El Vasallaje': una competición especial con una inesperada novedad que cambiará Panem para siempre. (FILMAFFINITY)"
Born to Be Blue,97,"Drama, Musical","Biopic sobre el legendario trompetista de jazz Chet Baker en los años 60. La historia se centra en la época en la que Baker comienza a rodar una película sobre sí mismo y se enamora de su compañera de rodaje, la enigmática Jane (Carmen Ejogo). El conflictivo pasado del músico vuelve para atormentarlo, hasta el punto de que parece que nunca volverá a poder ser capaz de componer, pero Jane lo reta a volver a la escena musical en contra de todos los pronósticos. (FILMAFFINITY)"
Matthias et Maxime,120,Drama,"Dos amigos de la infancia se besan como parte de la filmación de un cortometraje para la universidad. Tras el beso, ambos comienzan a preguntarse cuáles son sus auténticas preferencias sexuales, lo que pone en peligro la estabilidad de sus vínculos sociales. (FILMAFFINITY)"
Crímenes de familia,99,"Drama, Thriller","Cuenta la historia de Alicia e Ignacio, un matrimonio de uno de los barrios más lujosos de Buenos Aires, que viven junto a Gladys, su empleada doméstica, y su hijo de tres años, Santiago. Sus vidas comienzan a alterarse cuando su propio hijo, Daniel, con quien tienen una relación conflictiva, es acusado de violación e intento de homicidio de su ex esposa. (FILMAFFINITY)"
The Peanut Butter Falcon,97,Drama,"Zak (Gottsagen) es un joven con Síndrome de Down que se escapa de su residencia para perseguir su sueño de convertirse en un luchador profesional en una escuela de lucha. Una serie de circunstancias le llevan a encontrarse con Tyler (LaBeouf) un delincuente que también se ha dado a la fuga y que se convertirá en su entrenador y aliado. Su aventura les lleva a conocer a Eleanor (Johnson), una enfermera un tanto peculiar que se une a ellos en su viaje a través del norte de California. (FILMAFFINITY)"
Den 12. mann,130,Drama,"Segunda Guerra Mundial. En junio de 1940 finalizó la invasión nazi de Noruega. Muchos noruegos huyeron al Reino Unido donde se unieron a los Aliados formando la Compañía Linge. En 1943 se encargó a doce comandos de la resistencia noruega una peligrosa misión consistente en destruir una torre de control del tráfico aéreo de la Luftwaffe en Noruega. Tras abordar un barco de pesca en las Islas Shetland al norte de Escocia cruzaron el Mar del Norte para llegar a su país. Traicionados por noruegos colaboracionistas, once miembros del grupo fueron capturados y asesinados. Solo el duodécimo hombre, Jan Baalsrud, logró escapar de los nazis. Esta es la historia de la fuerza y el coraje de Baalsrud y de quienes le ayudaron a huir a Suecia. (FILMAFFINITY)"
The Courier,111,"Intriga, Drama","Durante la Guerra Fría entre Estados Unidos y Rusia, el ingeniero Greville Wynne (Benedict Cumberbatch) se infiltra como espía en el MI6, servicio de inteligencia británico. Cuando la crisis de los misiles cubanos promete inclinar la balanza a favor del país soviético, Wynne comenzará a trabajar con la CIA para filtrar información sobre el plan que tienen en marcha los rusos y así evitar una catástrofe."
The Edge of Seventeen,102,"Comedia, Drama",Dos estudiantes de instituto que son las mejores amigas ven cómo su amistad se tambalea cuando una comienza a salir con el hermano mayor de la otra. (FILMAFFINITY)
The King,133,"Aventuras, Drama","Hal (Timotheé Chamalet), un príncipe caprichoso y sin interés por ejercer su derecho al trono de Inglaterra, ha abandonado las responsabilidades reales para vivir en libertad entre la plebe. Sin embargo, ante la muerte de su tirano padre, Hal se ve obligado a retomar la vida de la que quería huir para ser el nuevo rey: Enrique V. Después de su coronación, el joven monarca tendrá que aprender a lidiar con las intrigas palaciegas, una guerra y los lazos que le unen a su antigua vida, como la relación con su mejor amigo y mentor, el caballero John Falstaff (Joel Edgerton)."
Jeune et jolie (Young & Beautiful),94,Drama,"Isabelle, una hermosa joven de 17 años que pertenece a una familia de clase alta de París, parece tener el mundo a sus pies. Pero tras un verano en el que la pérdida de la virginidad le resulta decepcionante, un viaje de autodescubrimiento sexual la embarcará a partir del otoño en una doble vida: estudiante de día y prostituta de lujo por las tardes. Esta es su historia, a través de cuatro estaciones y cuatro canciones. (FILMAFFINITY)"
Irrational Man,96,"Drama, Intriga, Comedia","Abe Lucas, un profesor de filosofía en plena crisis existencial, llega a una nueva universidad. Allí se relaciona con dos mujeres: Rita Richards, una solitaria profesora que busca que la rescate de su infeliz matrimonio; y Jill Pollard, su mejor estudiante y muy pronto su amiga. Aunque Jill está enamorada de su novio, encuentra irresistible la personalidad atormentada de Abe. (FILMAFFINITY)"
The Power of the Dog,128,"Western, Drama","Montana, 1925. Los acaudalados hermanos Phil (Cumberbatch) y George Burbank (Plemons) son las dos caras de la misma moneda. Phil es impetuoso y cruel, mientras George es impasible y amable. Juntos son copropietarios de un enorme rancho donde tienen ganado. Cuando George se casa con una viuda del pueblo, Rose (Dunst), Phil comienza a despreciar a su nueva cuñada, que se instala en el rancho junto a su hijo, el sensible Peter (Smit-McPhee)."
John Wick: Chapter Two,122,"Acción, Thriller","El legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un exasociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo. (FILMAFFINITY)"
Enemy,91,"Intriga, Drama","Adam (Gyllenhaal) es un afable profesor de historia que lleva una vida bastante monótona. Un día, viendo una película, descubre a un actor que es idéntico a él. Obsesionado con la idea de tener un doble, la búsqueda de ese hombre tendrá para él consecuencias inesperadas... Libre adaptación de la novela ""El hombre duplicado"", de José Saramago. (FILMAFFINITY)"
De behandeling,131,"Thriller, Intriga","El inspector Nick Cafmeyer parece tenerlo todo: buena presencia, inteligencia, perspectiva en su carrera… Sin embargo, una oscura sombra se cierne sobre su vida y sus relaciones. Desde los nueve años, Nick ha estado traumatizado por la desaparición sin resolver de su hermano menor, Bjorn. Basándose en el testimonio de Nick, su vecino Plettinckx, un conocido delincuente sexual, fue interrogado y puesto en libertad. Tras estos años, Plettinckx todavía vive cerca de Nick y uno de sus pasatiempos es acosarle. La única mujer capaz de sostener una relación intermitente con Nick, es su jefa, Danni, quien se resiste a incluir a Nick en un caso muy preocupante: una pareja ha estado tres días en cautiverio bajo el yugo de un intruso. Y este ha desaparecido sin dejar rastro junto al hijo de la familia, de nueve años. (FILMAFFINITY)"
Rurôni Kenshin: Sai shûshô - The Beginning,137,"Acción, Drama, Romance","Antes de convertirse en protector, Kenshin era un temible asesino conocido como Battosai. Pero su historia comienza a cambiar cuando conoce a la dulce Tomoe Yukishiro. (FILMAFFINITY)"
The Little Death,96,"Comedia, Drama","Comedia sobre el sexo, el amor, las relaciones y los tabúes en una narración de varias historias. (FILMAFFINITY)"
Dating Amber,92,"Drama, Comedia",Los mejores amigos Eddie (O'Shea) y Amber (Petticrew) fingen ser pareja para alejar los rumores sobre su orientación sexual que corren por el instituto.
Rosalie Blum,91,Comedia,"La vida del treintañero Vicente Machot transcurre entre su peluquería, su primo, su gato y su dominante madre. Un día, Vicente conoce por azar a Rosalie Blum, una misteriosa y solitaria mujer, y está convencido de sufrir un déja-vu, de que ya se ha encontrado con ella alguna vez. Intrigado, decide seguirla a todas partes, con la esperanza de saber más de ella. No sospecha que esto le llevará a una aventura llena de sorpresas, donde descubrirá personajes tan fantásticos como entrañables. (FILMAFFINITY)"
Mil-jeong,139,"Thriller, Drama, Acción","Finales de los años 20, durante la ocupación japonesa de Corea. Un grupo de la resistencia intenta traer explosivos desde Shanghái para destruir la base nipona en Seúl, mientras que los japoneses intentan detenerlos. Un talentoso policía japonés nacido coreano, que había pertenecido al movimiento independiente, se ve en el dilema de elegir entre su deber y el apoyo a una causa mayor. (FILMAFFINITY)"
"Tusen ganger god natt (A Thousand Times Goodnight) (1,000 Times Good Night)",117,Drama,"Rebecca es una gran reportera de guerra. Tras un grave accidente, su marido e hijos le dan un ultimátum; o ellos o su trabajo. (FILMAFFINITY)"
Monos,102,Drama,"En la cima de una imponente montaña, donde lo que a primera vista parece un campamento de verano, ocho muchachos guerrilleros apodados “Los Monos» conviven bajo la estricta instrucción de un sargento paramilitar. Su única misión es la de cuidar a ""la doctora"" (Julianne Nicholson), una mujer norteamericana a la que han tomado como rehén. Cuando esta misión empieza a peligrar, la confianza entre ellos empezará a ser cuestionada. (FILMAFFINITY)"
Loin des hommes (Far From Men),101,"Aventuras, Drama","Argelia, 1954. En medio del duro invierno, Daru (Viggo Mortensen), un profesor francés, acepta de mala gana escoltar a Mohamed (Reda Kateb), un hombre acusado de asesinato, a través de las montañas Atlas para que se enfrente a juicio. Perseguidos por hombres que reclaman la ley de la sangre y por colonos revanchistas, los dos hombres se rebelan. Juntos lucharán para recuperar la libertad. (FILMAFFINITY)"
Eddie the Eagle,101,"Comedia, Drama","La película detalla las inspiradoras hazañas de Michael Edwards, más conocido como “Eddie el Águila”, el más famoso saltador de esquí en la historia británica. (FILMAFFINITY)"
Trash,115,"Aventuras, Drama, Thriller","Dos niños de las favelas de Río de Janeiro encuentran una cartera en el vertedero donde buscan a diario, pero no se imaginan que este descubrimiento podría cambiar sus vidas. Cuando la policía local aparece para ofrecerles una generosa recompensa por la cartera, los dos chicos, Rafael y Gardo, comprenden que han encontrado algo importante. Deciden recurrir a su amigo Rata y los tres se lanzan a una extraordinaria aventura para intentar quedarse con la cartera y descubrir el secreto que esconde. (FILMAFFINITY)"
Le Tout Nouveau Testament,113,"Fantástico, Comedia","¿Qué pasaría si Dios existiese y viviese en Bruselas? Dios en la Tierra es un cobarde, tiene patéticos códigos morales y su conducta con su familia es odiosa. Su hija Ea, que se aburre mortalmente en la anodina Bruselas, decide rebelarse contra su padre, entra en su ordenador y desvela a todo el mundo el día d su fallecimiento, con lo que hace que de repente todas las personas reflexionen sobre qué hacer con los días, meses, o años que les quedan por vivir. (FILMAFFINITY)"
Elle,130,"Thriller, Drama","Michèle, exitosa ejecutiva de una empresa de videojuegos, busca venganza tras ser violada por un desconocido en su propia casa."
The Lion King,118,"Animación, Aventuras, Drama, Musical","Tras el asesinato de su padre, un joven león abandona su reino para descubrir el auténtico significado de la responsabilidad y de la valentía. Remake de ""El Rey León"", dirigido y producido por Jon Favreau, responsable de la puesta al día, con el mismo formato, de ""El libro de la selva"" (2016). (FILMAFFINITY)"
Dylda,137,Drama,"Leningrado, 1945. La Segunda Guerra Mundial ha devastado la ciudad y derruido sus edificios, dejando a sus ciudadanos en la miseria tanto a nivel físico como psíquico. El asedio, uno de los peores de la Historia, ha terminado, pero la vida y la muerte continúan combatiendo en el desastre que la guerra deja tras de sí. Dos mujeres jóvenes, Iya y Masha, tratan de encontrar un sentido a sus vidas para reunir fuerzas de cara a reconstruir la ciudad. (FILMAFFINITY)"
Marshall,118,Drama,"Este drama histórico presenta los inicios de la carrera del abogado de la NAACP Thurgood Marshall (Chadwick Boseman), que se convertirá en el primer juez afroamericano de la Corte Suprema de Estados Unidos. En el Connecticut de 1940, Marshall defiende a un chófer negro (Sterling K. Brown) que es acusado de violar e intentar asesinar a su jefa blanca (Kate Hudson). (FILMAFFINITY)"
Beasts That Cling to the Straw,108,Thriller,"El destino de un mediocre grupo de desgraciados comienza a converger lentamente mientras se desmorona. Joong Man va tirando a duras penas trabajando en una sauna y cuidando de su madre enferma, hasta que encuentra en el vestuario una bolsa llena de dinero. Tae Young se ha metido en un lío porque su novia se ha dado a la fuga con el dinero que él le había robado a un prestamista. Además, aparece misteriosamente un cadáver. Mi Ran, acorralada entre su marido maltratador y su vulgar trabajo de camarera, empieza una relación con su joven amante, Jin Tae, quien se ofrece a matar a su pareja… Así empieza este juego en el que solo puede sobrevivir el más fuerte. (FILMAFFINITY)"
Still Life,92,"Drama, Comedia","Diligente y trabajador, el solitiario John May es un empleado del ayuntamiento encargado de encontrar a los parientes más cercanos de las personas que acaban de morir. (FILMAFFINITY)"
Diplomatie,80,Drama,"París, agosto 1944. El cónsul sueco Raoul Nordling (Dussollier) irrumpe en el hotel Meurice  para hablar con Dietrich von Choltitz (Arestrup), gobernador militar alemán de París durante los últimos días del dominio alemán en la capital francesa. La misión del cónsul consiste en convencer al general para que no ejecute la orden de activar los explosivos que harían volar los principales monumentos de la capital francesa: el Louvre, Nôtre-Dame y la Torre Eiffel, entre otros monumentos. Se trata de impedir que ""arda París"", como ha ordenado Hitler. (FILMAFFINITY)"
Professor Marston & the Wonder Women,108,Drama,"Basada en la vida del Dr. William Marston, psicólogo y teórico de Harvard, quien ayudó a crear el detector de mentiras y el famoso personaje ficticio de la Mujer Maravilla. Esta película muestra parte de la relación poco convencional que compartió con dos mujeres: su esposa Elizabeth (Rebecca Hall), y Olive Byrne, una alumna de William que invita a la pareja a una hermandad femenina, en donde exploran y comparten ideas sobre sexualidad y sumisión. A partir de este evento, William, Elizabeth y Olive forman un triángulo tanto amoroso como intelectual: la química entre los tres fue la clave para crear a la famosa heroína y dotarla de sus propios ideales feministas. Luchando contra aquellos que intentaron censurar la historieta por considerarla violenta y llena de perversión, el trío defendió firmemente la presencia de un personaje femenino que sirviera de inspiración para las mujeres de todo el mundo. (FILMAFFINITY)"
Grandma,79,"Comedia, Drama","Elle acaba de romper con su novia Olive, cuando su nieta Sage aparece inesperadamente pidiéndole dinero con urgencia. Aún dolida por su ruptura sentimental, la abuela Elle y Sage pasarán todo el día intentando conseguir dinero visitando a antiguos amigos, lo que hará que comiencen a desvelarse secretos del pasado. (FILMAFFINITY)"
BAC Nord,105,Thriller,"Año 2012. Los distritos del norte de Marsella ostentan un triste récord: son el área con la tasa de criminalidad más alta de Francia. Tres agentes del BAC Nord, una brigada anticrimen que trabaja sobre el terreno, buscan infructuosamente mejorar sus resultados. En un sector de alto riesgo, la policía adapta sus métodos, a veces cruzando difusas líneas rojas. (FILMAFFINITY)"
The Nile Hilton Incident,106,Thriller,"Noureddine, un detective corrupto con un futuro brillante en el cuerpo de policía, y cuyo principal propósito no es exactamente hacer el bien sino hacerse rico, es enviado al hotel Nile Hilton, donde acaban de descubrir el cadáver de una hermosa mujer. La identidad de ésta, sus conexiones con las élites de El Cairo y otros incidentes más personales acabarán llevando a Noureddine a tomar decisiones trascendentales y a descubrirse a sí mismo. (FILMAFFINITY)"
Al final del túnel,120,"Thriller, Intriga","Joaquín está en silla de ruedas. Su casa, que conoció tiempos mejores, ahora es lúgubre y oscura. Berta, bailarina de striptease, y su hija Betty, llaman a su puerta respondiendo a un anuncio que puso Joaquín para alquilar una habitación. Su presencia alegra la casa y anima la vida de Joaquín. Una noche, mientras trabaja en su sótano, Joaquín escucha un ruido casi imperceptible. Se da cuenta entonces que una banda de delincuentes está construyendo un túnel que pasa bajo su casa con la intención de robar un banco cercano. (FILMAFFINITY)"
The Gift,108,"Intriga, Thriller, Drama","La vida de Simon y Robyn, una joven pareja que acaba de mudarse a una nueva casa en California, comienza a verse incómodamente alterada cuando empiezan a recibir misteriosos regalos de un antiguo compañero de clase de Simon. (FILMAFFINITY)"
Predestination,97,"Ciencia ficción, Thriller, Intriga","Un agente especial (Ethan Hawke) de un departamento secreto del gobierno, una agencia creada en los años 80 que permite realizar viajes en el tiempo, tendrá que realizar una compleja serie de ""saltos"" hacia atrás en el tiempo con el fin de detener al conocido como ""el terrorista fallido"" (The Fizzle Bomber), un individuo que está poniendo bombas por todo el país con miles de víctimas. En uno de sus viajes a los 70, el agente, que trabaja encubierto como camarero de un bar, conoce a un hombre que le narra una historia extraordinaria... (FILMAFFINITY)"
Cha Cha Real Smooth,107,"Drama, Comedia","A Andrew, un joven de 22 años recién salido de la universidad que no sabe qué hacer con su vida, no le queda más remedio que volver con su familia a Nueva Jersey. Todo un experto en montar un buen sarao, consigue un trabajo de animador en las fiestas de bar mitzva de los compañeros de clase de su hermano pequeño. Cuando se hace amigo de una mujer llamada Domino y su hija Lola, que tiene un ligero autismo, Andrew descubre el futuro que desea realmente... aunque puede que no sea el suyo."
Lykke-Per,162,Drama,"En su búsqueda de la felicidad, Per se muda lejos de la oscura región de Jutland y de su familia extremadamente religiosa, sobre todo huyendo de su padre, un cura. Se embarca hacia Copenhague​ para convertirse en ingeniero y comenzar un gran proyecto energético. En la gran ciudad, Per descubre su apetito por la vida y la felicidad, envolviéndose en un despreocupado y vívido entorno social."
La mafia uccide solo d’estate (The Mafia Only Kills in Summer),90,"Comedia, Drama","Palermo, 1969. Arturo es concebido mientras en esa misma calle un grupo de mafiosos lleva a cabo una de las matanzas más sangrientas de la Cosa Nostra. A partir de ese momento, la vida de Arturo se cruzará con la de mafiosos, policías y jueces en una especie de ""Forrest Gump a la siciliana"". (FILMAFFINITY)"
Jiang hu er nv,135,Drama,"En 2001, la joven Qiao está enamorada de Bin, cabecilla de la mafia local de Datong. Cuando Bin es atacado por una pandilla rival, Qiao se defiende y dispara varias veces. Es condenada a cinco años de cárcel. Tras cumplir su pena, Qiao busca a Bin e intenta volver con él. Pero él no quiere seguirla. Diez años más tarde, en Datong, Qiao sigue soltera y ha salido adelante manteniéndose fiel a los valores de la mafia. Pero Bin, cansado de la vida, regresa buscándola, a la única persona a la que ha amado..."
Pelo malo,93,Drama,"Junior es un niño de nueve años que tiene el pelo rizado. Él quiere alisárselo para la foto del anuario de la escuela, pues así lo llevan los cantantes pop que están de moda. Esta circunstancia lo lleva a enfrentarse con su madre. Lo que Junior quiere es ponerse guapo para que su mamá lo quiera, pero ella lo rechaza cada vez más. (FILMAFFINITY)"
The Art of Racing in the Rain,109,"Comedia, Drama","Un perro llamado Enzo rememora las lecciones que ha aprendido de Denny (Milo Ventimiglia), un piloto de carreras. (FILMAFFINITY)"
Le nouveau (The New Kid),81,"Comedia, Drama","Benoit, un chico de catorce años, ha dejado el campo para mudarse a París. Su primer día en el colegio resulta ser más difícil de lo que esperaba, y pronto se siente aislado. Hasta que un día, Johanna, una nueva compañera sueca, llega a la clase. Benoit decide organizar una fiesta en casa, pero solo aparecen tres personas... una discapacitada, Aglaée, el rarito, Joshua y el empollón, Constantin... (FILMAFFINITY)"
Ron's Gone Wrong,106,"Animación, Comedia, Ciencia ficción","Las cosas se tuercen cuando Barney, un alumno de secundaria con pocos amigos, recibe un dispositivo conectado digitalmente, pero con fallos en su funcionamiento, que se supone que ha de ser su “mejor amigo listo para funcionar”. En esta historia de animación, llena de acción, y ambientada en la época de las redes sociales, un niño y su robot descubrirán el maravilloso caos que supone una verdadera amistad."
42,128,Drama,"Historia del legendario jugador negro de béisbol Jackie Robinson (Chadwick Boseman),  que rompió las barreras raciales al ser contratado por el presidente (Harrison Ford) de los Dodgers de Brooklyn. La participación de Robinson en la gran liga de béisbol puso fin a la segregación racial en este deporte. Tuvo que soportar toda clase de humillaciones, pero su talento y actitud lo convirtieron en un héroe. Con los Dodgers consiguió 6 campeonatos en 10 años, además de una Serie Mundial. Fue nombrado novato del año 1947, MVP (Most Value Player - Jugador Más Valioso) en el año 1949, participó en el All Star en 6 ocasiones y se convirtió en el segundo hombre más popular del país tras Bing Crosby. Las hazañas de este jugador hicieron que todos los equipos de la Major League retiraran el número 42 de sus uniformes en reconocimiento a su talento, dedicación y lucha por los derechos humanos. Años después, pasó a formar parte del Salón de la Fama de Béisbol. (FILMAFFINITY)"
The Wife,90,Drama,"Joan Castleman (Glenn Close) es una buena esposa, de belleza madura y natural, la mujer perfecta. Pero lo cierto es que lleva cuarenta años sacrificando sus sueños y ambiciones para mantener viva la llama de su matrimonio con su marido, Joe Castleman (Jonathan Pryce). Pero Joan ha llegado a su límite. En vísperas de la entrega del Premio Nobel de Literatura a Joe, Joan decide desvelar su secreto mejor guardado. (FILMAFFINITY)"
First Reformed,108,Drama,"El encuentro con un activista medioambiental y su esposa embarazada (Amanda Seyfried) radicaliza poco a poco la ideología de un pastor evangélico (Ethan Hawke), un antiguo capellán del ejército, todavía marcado por la muerte de su hijo en Irak, que dirige una pequeña iglesia en el norte del estado de Nueva York. (FILMAFFINITY)"
Demolition,100,Drama,"Davis Mitchell (Jake Gyllenhaal) es un exitoso ejecutivo que sufre una grave desconexión emocional tras la repentina y trágica muerte de su mujer (Heather Lind) en un accidente de coche. Aunque su suegro (Chris Cooper) intenta por todos los medios que se recupere, continúa bloqueado y se dedica a desmontar compulsivamente toda clase de objetos. Gracias a la ayuda de Karen (Naomi Watts) y de su hijo, a los que acaba de conocer, Davis empieza a reconstruir su vida. (FILMAFFINITY)"
Toni Erdmann,162,"Comedia, Drama","Inès trabaja en una importante consultora alemana establecida en Bucarest. Su estresante vida está perfectamente organizada hasta que su extrovertido y bromista padre Winfried llega de improvisto y le pregunta ”¿eres feliz?”. Tras su incapacidad para responder, sufre un profundo cambio. Ese padre que a veces estorba y que la avergüenza un poco le va a ayudar a dar nuevamente sentido a su vida gracias a un personaje imaginario: el divertido Toni Erdmann… (FILMAFFINITY)"
Snowden,134,"Thriller, Drama, Intriga","Narra los acontecimientos que siguieron a la publicación por parte del diario 'The Guardian' de los documentos clasificados que aportó el joven analista de la Agencia de Seguridad Nacional (NSA) Edward Snowden sobre el programa secreto de vigilancia mundial de la Agencia en el 2013, unos documentos que revelaban que espiaban a miles de millones de personas de todo el planeta... Film Basado en el libro ""The Snowden files. The inside story of the world's most wanted man"", escrito por Luke Harding, y en un libro escrito por Anatoly Kucherena, el abogado ruso de Edward Snowden. (FILMAFFINITY)"
The Drop,106,"Thriller, Drama","En Brooklyn, un solitario camarero rescata a un cachorro de un cubo de basura. Sus problemas empiezan cuando aparece el dueño del animal, un hombre con problemas mentales que, además, está involucrado en una conspiración criminal que se planea en el bar en el que trabaja el camarero. (FILMAFFINITY)"
American Made,114,Thriller,"Basada en la vida real de Barry Seal, un piloto de la TWA reclutado por la CIA que se convirtió en un importante narcotraficante que movía droga para el cartel de Medellín de Jorge Ochoa y Pablo Escobar entre los Estados Unidos y Centroamérica, viéndose involucrado en importantes sucesos de los años 80 como el escándalo Irán-Contra. (FILMAFFINITY)"
Cruella,134,"Comedia, Thriller","Londres, años 70. Decidida a convertirse en una exitosa diseñadora de moda, una joven y creativa estafadora llamada Estella (Emma Stone) se asocia con un par de ladrones para sobrevivir en las calles de la capital británica. Pero cuando su talento para la moda llama la atención de la legendaria diseñadora, la Baronesa von Hellman (Emma Thompson), Estella cambia el rumbo de su vida hasta que una serie de acontecimientos la llevan a asumir su lado malvado y a convertirse en la estridente y vengativa 'Cruella'."
A Quiet Place: Part II,97,"Terror, Thriller, Fantástico, Intriga","Tras los fatales acontecimientos sucedidos en la primera parte, la familia Abbot (Emily Blunt, Millicent Simmonds y Noah Jupe) debe enfrentarse a los peligros del mundo exterior mientras luchan en silencio por sobrevivir. Forzados a aventurarse en lo desconocido, pronto se dan cuenta de que las criaturas que cazan orientadas por el sonido no son la única amenaza que acecha más allá del camino de arena. Secuela de ""Un lugar tranquilo"" (A Quiet Place, 2018). (FILMAFFINITY)"
"Alita, Battle Angel",121,"Ciencia ficción, Acción, Romance, Thriller","Cuando Alita (Rosa Salazar) se despierta sin recordar quién es en un mundo futuro que no reconoce, Ido (Christoph Waltz), un médico compasivo, se da cuenta de que en algún lugar de ese caparazón de cyborg abandonado, está el corazón y alma de una mujer joven con un pasado extraordinario. Mientras Alita toma las riendas de su nueva vida y aprende a adaptarse a las peligrosas calles de Iron City, Ido tratará de protegerla de su propio pasado, mientras que su nuevo amigo Hugo (Keean Johnson) se ofrecerá, en cambio, a ayudarla a desenterrar sus recuerdos. Cuando las fuerzas mortales y corruptas que manejan la ciudad comienzan a perseguir a Alita, ella descubre una pista crucial sobre su pasado: posee habilidades de combate únicas que los que ostentan el poder querrán controlar a toda costa. Sólo manteniéndose fuera de su alcance, podrá salvar a sus amigos, a su familia y el mundo que ha aprendido a amar. Remake del clásico anime de 1993 ""Alita, Ángel del Combate"". (FILMAFFINITY)"
The Man From U.N.C.L.E.,116,"Acción, Thriller","Guerra fría, años 60. Narra las aventuras de dos agentes secretos que se parecen más de lo que creen: Napoleon Solo, de la CIA, e Illya Kuryakin, del KGB. Ambos se ven obligados a olvidar sus diferencias y formar un equipo cuya misión será poner fin a una misteriosa organización criminal internacional que pretende desestabilizar el frágil equilibrio de poder provocado por la proliferación de las armas nucleares. La hija de un científico alemán desaparecido es la clave para infiltrarse en la organización, encontrar al científico y evitar una catástrofe mundial. (FILMAFFINITY)"
10 Cloverfield Lane,103,"Thriller, Intriga, Terror, Ciencia ficción","Una joven sufre un accidente de coche. Cuando despierta se encuentra encerrada en una celda bajo tierra, secuestrada por un hombre extraño (John Goodman) que dice haberla salvado del día del juicio final. El excéntrico captor asegura que el exterior es inhabitable por culpa de un terrible ataque químico, algo que no sabe si creer. Es así como comienza su pesadilla, en una espiral de desconocimiento. La mente del criminal es infranqueable, y ella tendrá que intentar analizar a su enemigo para conseguir sobrevivir. (FILMAFFINITY)"
Perfectos desconocidos,96,Comedia,"En una cena entre cuatro parejas, que se conocen de toda la vida, se propone un juego que pondrá sobre la mesa sus peores secretos: leer en voz alta los mensajes, y atender públicamente las llamadas, que reciban en sus móviles durante la cena. Remake del exitoso film italiano ""Perfetti sconosciuti"" (2016), de Paolo Genovese."
Bajo terapia,93,"Comedia, Drama","Tres parejas acuden a una inusual sesión de terapia en grupo. La psicóloga les ha dejado unos sobres con consignas que las parejas tendrán que abordar y analizar entre todos. Le mecánica propuesta alienta a que todos opinen, discutan y finalmente se acaben mostrando tal y como son. Con el humor como herramienta principal, el encuentro se complicará hasta límites insospechados."
The Collini Case,123,"Drama, Thriller","Un abogado (M’Barek) decide llevar la defensa de un hombre al que se acusa de haber asesinado a un respetable hombre de negocios de avanzada edad. A medida que profundiza en la investigación del caso, el abogado destapa uno de los mayores escándalos judiciales de la historia de Alemania. (FILMAFFINITY)"
