Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
Noche en el paraíso,Nak-won-eui-bam,2020,131,"Acción, Thriller, Drama",Corea del Sur,"6,4",1.047,Park Hoon-jung,"Cha Seung-won, Eom Tae-gu, Jeon Yeo-been, Lee Ki-young, Bong-sik Hyun, Park Ho-san, Dong-in Cho, Lee Moon-sik, Son Byung-ho","Tae-gu, un criminal de una banda liderada por Mr. Yang, intenta corregir el rumbo de su vida para ayudar a su hermana enferma y su sobrino. Hasta que un día su hermana y su sobrino son asesinados de forma accidental cuando querían matar a Tae-gu y éste decide vengarse. (FILMAFFINITY)",https://www.filmaffinity.com/es/film939402.html
Sick of Myself,Syk pike,2022,97,Comedia,Noruega,"6,4",1.152,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager, Fredrik Stenberg Ditlev-Simonsen, Anders Danielsen Lie, Sarah Francesca Brænne, Ingrid Vollan, Henrik Mestad","Signe y Thomas mantienen una relación de pareja malsana y competitiva, que toma un giro pernicioso cuando Thomas obtiene cierta notoriedad como artista contemporáneo. La reacción de Signe consistirá en inventarse un nuevo personaje y tratar a la desesperada de llamar la atención y suscitar la compasión para recuperar su estatus. (FILMAFFINITY)",https://www.filmaffinity.com/es/film262298.html
En un muelle de Normandía,Le Quai de Ouistreham,2021,102,Drama,Francia,"6,4",1.211,Emmanuel Carrère,"Juliette Binoche, Didier Pupin, Emily Madeleine, Evelyne Porée, Hélène Lambert, Léa Carne, Louise Pociecka, Steve Papagiannis","Marianne Winckler, una reconocida autora, decide escribir un libro sobre la precariedad laboral viviendo esta realidad de primera mano. Para ello, ocultando su identidad, consigue trabajo como limpiadora en un pueblo de Normandía, al norte de Francia, y descubre una vida ignorada por el resto de la sociedad en la que cada euro ganado o gastado importa. Pese a la dureza de la experiencia, la solidaridad entre compañeros crea fuertes lazos de amistad entre Marianne y ellos. La ayuda mutua conduce a la amistad y la amistad a la confianza pero ¿Qué pasa con esta confianza cuando la verdad sale a la luz? (FILMAFFINITY)",https://www.filmaffinity.com/es/film115715.html
Cuando tienes 17 años,Quand on a 17 ans,2016,114,Drama,Francia,"6,4",1.499,André Téchiné,"Sandrine Kiberlain, Kacey Mottet Klein, Corentin Fila, Alexis Loret, Jean Fornerod, Mama Prassinos, Jean Corso","Damien, hijo de un soldado, vive en un cuartel del sudoeste francés con su madre, que es médico, mientras que su padre está en misión militar en África Central. En el instituto sufre el maltrato de uno de sus compañeros, Tom, cuya madre adoptiva está enferma. La repulsión y la violencia que muestran el uno hacia el otro se está volviendo problemática; pese a ello, la madre de Damien decide acoger a Tom bajo su techo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film519747.html
Como la vida misma,Life Itself,2018,118,"Drama, Romance",Estados Unidos,"6,4",2.694,Dan Fogelman,"Oscar Isaac, Olivia Wilde, Annette Bening, Antonio Banderas, Samuel L. Jackson, Olivia Cooke, Mandy Patinkin, Laia Costa","Un doloroso incidente es el hilo conductor de una historia de amor que abarca varias generaciones a lo largo de dos continentes en las calles de Nueva York y España, y cuyos implicados jamás podrían imaginar su resultado. (FILMAFFINITY)",https://www.filmaffinity.com/es/film371100.html
Sisu,Sisu,2022,91,"Bélico, Western, Aventuras, Acción",Finlandia,"6,4",4.180,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan, Onni Tommila, Mimosa Willamo, Tatu Sinisalo, Wilhelm Enckell, Kimi Vilkkula","Durante los últimos y desesperados días de la Segunda Guerra Mundial, un solitario buscador de oro (Jorma Tommila) se cruza con los nazis en una retirada al norte de Finlandia. Cuando los nazis le roban el oro, descubren rápidamente que no se han metido con un minero cualquiera. Aunque no existe una traducción directa de la palabra finlandesa ""sisu"", este legendario ex-comando encarnará lo que significa sisu: una forma de coraje y determinación inimaginables frente a probabilidades abrumadoras. Y no importa lo que los nazis le echen encima, el escuadrón de la muerte de un solo hombre hará todo lo posible por recuperar su oro, aunque eso signifique matar a todos los nazis que se crucen en su camino. (FILMAFFINITY)",https://www.filmaffinity.com/es/film872693.html
Calibre,Calibre,2018,100,"Thriller, Drama",Reino Unido,"6,4",4.796,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, George Anton, Kate Bracken, Cal Macaninch, Cameron Jack","Durante un fin de semana de caza en los highland escoceses, dos viejos amigos se encuentran, tras un dramático incidente, en una trágica situación que pondrá en peligro sus vidas. (FILMAFFINITY)",https://www.filmaffinity.com/es/film560509.html
Ártico,Arctic,2018,97,"Aventuras, Drama",Islandia,"6,4",6.376,Joe Penna,"Mads Mikkelsen, Maria Thelma Smáradóttir","En el Ártico, la temperatura puede bajar hasta -70° C. En este desierto helado y hostil alejado de todo, un hombre lucha por sobrevivir. A su alrededor, la inmensidad blanca, y los restos de un avión que le ha servido de refugio, vestigio de un accidente ya muy lejano. Con el tiempo, ha aprendido a luchar contra el frío y las tormentas, a cuidarse de los osos polares y a buscar comida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film133337.html
Los hombres libres de Jones,Free State of Jones,2016,139,"Acción, Bélico, Drama",Estados Unidos,"6,4",9.344,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Keri Russell, Mahershala Ali, Sean Bridgers, Jacob Lofland, Christopher Berry, Joe Chrest","Narra la historia real de Newton Knight (McConaughey), un granjero sureño, durante la Guerra de Secesión americana (1861-1865). Harto de defender los intereses de los grandes propietarios sureños, decidió desertar, se alió con otros pequeños granjeros y,  con la ayuda de los esclavos locales, lideró un levantamiento cuyo resultado fue la transformación del Condado de Jones, Mississippi, en un Estado Libre. Su matrimonio con Rachel (Gugu Mbatha-Raw), una antigua esclava, y la creación de una comunidad interracial, convirtieron a Newton Knight en una figura tan popular como controvertida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film835391.html
A cambio de nada,A cambio de nada,2015,93,Drama,España,"6,4",13.786,Daniel Guzmán,"Miguel Herrán, Antonio Bachiller, Luis Tosar, María Miguel, Antonia Guzmán, Felipe Vélez, Patricia Santos, Miguel Rellán","Darío, un chico de dieciséis años, disfruta de la vida con Luismi, su vecino y amigo del alma. Mantienen una amistad incondicional, se conocen desde niños y juntos han descubierto todo lo que saben de la vida. Tras la separación de sus padres, Darío huye de casa y empieza a trabajar en el taller de Caralimpia, un viejo delincuente con aires de triunfador, que le enseña el oficio y los beneficios de la vida. Darío conoce además a Antonia, una anciana que recoge muebles abandonados con su motocarrro. A su lado descubre otra forma de ver la vida. Luismi, Caralimpia y Antonia se convierten en su nueva familia durante un verano que les cambiará la vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film973755.html
El callejón de las almas perdidas,Nightmare Alley,2021,150,"Cine negro, Intriga, Drama",Estados Unidos,"6,4",14.358,Guillermo del Toro,"Bradley Cooper, Rooney Mara, Cate Blanchett, Toni Collette, Willem Dafoe, David Strathairn, Richard Jenkins, Mark Povinelli","Un buscavidas manipulador (Bradley Cooper) se alía con una psiquiatra tan embaucadora como él (Cate Blanchett) para timar a los ricos de la sociedad neoyorquina de los años 40. Nueva adaptación de la novela de William Lindsay Gresham, llevado al cine con anterioridad por Edmund Goulding en 1947.",https://www.filmaffinity.com/es/film880572.html
El autor,El autor,2017,112,Drama,España,"6,4",16.337,Manuel Martín Cuenca,"Javier Gutiérrez, Antonio de la Torre, Adelfa Calvo, María León, Adriana Paz, Tenoch Huerta, Rafael Téllez, Craig Stevenson","Álvaro (Javier Gutiérrez) se separa de su mujer, Amanda (María León), una exultante escritora de best‐sellers, y decide afrontar su sueño: escribir una gran novela. Pero es incapaz; no tiene talento ni imaginación... Guiado por su profesor de escritura (Antonio de la Torre), indaga en los pilares de la novela, hasta que un día descubre que la ficción se escribe con la realidad. Álvaro comienza a manipular a sus vecinos y amistades para crear una historia, una historia real que supera a la ficción.... Adaptación de ""El móvil"", primera novela de Javier Cercas, publicada en 1987. (FILMAFFINITY)",https://www.filmaffinity.com/es/film570753.html
John Wick: Capítulo 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019,130,"Acción, Thriller",Estados Unidos,"6,4",20.443,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Anjelica Huston, Mark Dacascos, Laurence Fishburne, Lance Reddick, Asia Kate Dillon","John Wick (Keanu Reeves) regresa a la acción, solo que esta vez con una recompensa de 14 millones de dólares sobre su cabeza y con un ejército de mercenarios intentando darle caza. Tras asesinar a uno de los miembros del gremio de asesinos al que pertenecía, Wick es expulsado de la organización, pasando a convertirse en el centro de atención de multitud de asesinos a sueldo que esperan detrás de cada esquina para tratar de deshacerse de él. (FILMAFFINITY)",https://www.filmaffinity.com/es/film615543.html
Gorrión rojo,Red Sparrow,2018,134,Thriller,Estados Unidos,"6,4",22.967,Francis Lawrence,"Jennifer Lawrence, Joel Edgerton, Jeremy Irons, Charlotte Rampling, Mary-Louise Parker, Matthias Schoenaerts, Joely Richardson, Nicole O'Neill","Dominika Egorova (Jennifer Lawrence) es reclutada contra su voluntad para ser un “gorrión”, una seductora adiestrada del servicio de seguridad ruso. Dominika aprende a utilizar su cuerpo como arma, pero lucha por conservar su sentido de la identidad durante el deshumanizador proceso de entrenamiento. Hallando su fuerza en un sistema injusto, se revela como uno de los activos más sólidos del programa. Su primer objetivo es Nate Nash (Joel Edgerton), un funcionario de la CIA que dirige la infiltración más confidencial de la agencia en la inteligencia rusa. Los dos jóvenes agentes caen en una espiral de atracción y engaño que amenaza sus carreras, sus lealtades y la seguridad de sus respectivos países. (FILMAFFINITY)",https://www.filmaffinity.com/es/film650565.html
John Wick (Otro día para matar),John Wick,2014,101,"Acción, Thriller",Estados Unidos,"6,4",34.093,"Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore","En Nueva York, John Wick, un asesino a sueldo retirado, vuelve otra vez a la acción para vengarse de los gángsters que le quitaron todo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film351657.html
Asesinos,Assassination,2015,140,"Thriller, Drama",Corea del Sur,"6,4",1.002,Choi Dong-hoon,"Jun Ji-hyun, Lee Jung-jae, Ha Jung-woo, Choi Duek-mun, Lee Kyung-young, Oh Dal-su, Cho Jin-woong, Kim Eui-sung","Año 1933. Corea está ocupada por los japoneses. Un grupo de exiliados rebeldes planea matar a un comandante nipón, pero la única asesina que puede hacerse cargo de tan delicada tarea está en la cárcel. La resistencia se dispone a sacarla de prisión, cuando un espía alerta a los japoneses, acelerando un entramado de traiciones. (FILMAFFINITY)",https://www.filmaffinity.com/es/film473784.html
Mi vida con Amanda,Amanda,2018,107,Drama,Francia,"6,4",1.344,Mikhaël Hers,"Vincent Lacoste, Isaure Multrier, Stacy Martin, Ophélia Kolb Kasapoglu, Marianne Basler, Jonathan Cohen, Nabiha Akkari, Greta Scacchi","David es un joven de 20 años de París que se dedica a vivir el presente. Se gana la vida con pequeños trabajos, y evita tomar decisiones que le comprometan. Es solitario y soñador. Un día se enamora de Lena, una vecina que acaba de llegar. Pero el tranquilo transcurso de su vida estalla de pronto cuando su hermana mayor muere brutalmente en un atentado. David es la única persona que se puede hacer cargo de Amanda, su sobrina de siete años. (FILMAFFINITY)",https://www.filmaffinity.com/es/film109033.html
Sombra,Shadow,2018,116,"Acción, Drama",China,"6,4",3.464,Zhang Yimou,"Deng Chao, Sun Li, Ryan Zheng, Guan Xiaotong, Wang Jingchun, Wang Qianyuan, Hu Jun, Lei Wu","El condado de Pei (Peixian) está bajo la administración de un rey salvaje y peligroso (Zheng Kai). El comandante militar de su ejército (Deng Chao), aunque ha demostrado su valía en el campo de batalla, se ve forzado a emplear toda clase de sucias estratagemas para poder sobrevivir a las traiciones que se suceden en la corte del rey. Para ello ha creado una ""sombra"" (interpretada por el propio Chao), un doble que es capaz de engañar al mismísimo rey y a sus enemigos cuando la situación lo requiere. Cuando el rey y el comandante deciden asediar la ciudad amurallada de Jing, comenzará un combate sin igual que sacudirá los cimientos de la corte de Peixian. (FILMAFFINITY)",https://www.filmaffinity.com/es/film957690.html
Atenea,Athena,2022,99,"Drama, Thriller, Acción",Francia,"6,4",3.655,Romain Gavras,"Dali Benssalah, Alexis Manenti, Anthony Bajon, Karim Lasmi, Ouassini Embarek, Radostina Rogliano, Mehdi Abdelhakmi, Tarek Haddaji","Horas después de la trágica muerte de un menor a manos de la policía, estalla una revuelta violenta en un barrio francés. Los disturbios se intensifican mientras la vida de tres hermanos se ve sumida en el caos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film484509.html
Utoya. 22 de julio,Utøya 22. juli,2018,93,"Thriller, Drama",Noruega,"6,4",3.874,Erik Poppe,"Andrea Berntzen, Aleksander Holmen, Magnus Moen, Ada Eide, Elli Rhiannon Müller Osbourne, Solveig Koløen Birkeland, Brede Fristad, Sorosh Sadat","Conocemos a Kaja, una joven de 18 años, apenas 12 minutos antes de que comience la matanza en el campamento de verano de la isla noruega de Utøya, el 22 de julio del 2011, en el que fue el peor día de la historia moderna de Noruega. Los jóvenes acampados saben de la bomba explosionada por un terrorista en Oslo, pero desconocen que Anders Breivik se encuentra en la isla con la intención de matar a cuantas más personas mejor. (FILMAFFINITY)",https://www.filmaffinity.com/es/film759238.html
Héroes en el infierno,Only the Brave,2017,134,"Aventuras, Acción, Drama",Estados Unidos,"6,4",4.145,Joseph Kosinski,"Josh Brolin, Miles Teller, Jennifer Connelly, Jeff Bridges, Taylor Kitsch, Andie MacDowell, James Badge Dale, Scott Haze","Drama inspirado en la lucha del heroico cuerpo de bomberos Granite Mountain Hotshots contra un terrible incendio sucedido en Prescott, Arizona, en junio de 2013.",https://www.filmaffinity.com/es/film339362.html
Durante la tormenta,Durante la tormenta,2018,128,"Ciencia ficción, Thriller",España,"6,4",14.374,Oriol Paulo,"Adriana Ugarte, Chino Darín, Álvaro Morte, Javier Gutiérrez, Miquel Fernández, Nora Navas, Clara Segura, Julio Bohigas-Couto","Una misteriosa interferencia entre dos tiempos provoca que Vera, una madre felizmente casada, salve la vida de un niño que vivió en su casa 25 años antes. Pero las consecuencias de su buena acción provocan una reacción en cadena que hace que despierte en una nueva realidad donde su hija nunca ha nacido... (FILMAFFINITY)",https://www.filmaffinity.com/es/film493283.html
Paddleton,Paddleton,2019,89,Drama,Estados Unidos,"6,4",1.173,Alexandre Lehmann,"Ray Romano, Mark Duplass, Ravi Patel, Christine Woods, Jen Sung, Stephen Oyoung, Sierra Fisk","Dos vecinos se convierten en amigos inseparables después de que a uno de ellos le diagnostiquen un cáncer terminal. Los dos ""colegas"", súbitamente confrontados con la realidad de la vida, deciden dejar de jugar a su juego favorito, llamado ""paddleton"", para embarcarse en una aventura tan física como espiritual. En ella no sólo se descubrirán mejor a sí mismos, sino también la importancia de compartir sus sentimientos, algo poco habitual en ellos, antes de que sea demasiado tarde.",https://www.filmaffinity.com/es/film756223.html
Cemetery of Splendour,Rak ti Khon Kaen (Cemetery of Splendour),2015,122,"Drama, Fantástico",Tailandia,"6,4",1.189,Apichatpong Weerasethakul,"Jenjira Jansuda, Banlop Lomnoi, Petcharat Chaiburi, Tawatchai Buawat, Jarinpattra Rueangram, Sakda Kaewbuadee, Sujittraporn Wongsrikeaw, Bhattaratorn Senkraigul","Una solitaria ama de casa de mediana edad atiende a un soldado con la enfermedad del sueño, cayendo en alucinaciones que desencadenan en sueños extraños, fantasmas y romances. (FILMAFFINITY)",https://www.filmaffinity.com/es/film435424.html
Memoria,Memoria,2021,136,Drama,Colombia,"6,4",1.292,Apichatpong Weerasethakul,"Tilda Swinton, Daniel Giménez Cacho, Jeanne Balibar, Juan Pablo Urrego, Elkin Díaz, Daniel Toro, Agnes Brekke, Jerónimo Barón, Constanza Gutiérrez","A Jessica (Tilda Swinton), botánica británica establecida en Colombia, la despierta una noche un sonido como de otro mundo. La protagonista emprende un viaje hasta el corazón de la selva en busca del origen de este ruido que solo ella parece oír.",https://www.filmaffinity.com/es/film305860.html
La oveja Shaun. La película: Granjaguedón,A Shaun the Sheep Movie: Farmageddon,2019,86,"Animación, Comedia, Aventuras, Infantil",Reino Unido,"6,4",1.345,"Will Becher, Richard Phelan",,"Unas extrañas luces planean sobre el cielo del tranquilo Mossingham anunciando la llegada de visitantes de una lejana galaxia, pero en la granja Mossy Bottom la oveja Shaun y el resto del rebaño siguen haciendo de las suyas… muy a pesar de Bitzer, su perro pastor. Tras esta incursión, una adorable extraterrestre de asombrosos poderes se queda en Tierra, y Shaun ve en ella una oportunidad de diversión alienígena. Pero antes ha de evitar que su nueva amiga sea capturada por una siniestra organización. (FILMAFFINITY)",https://www.filmaffinity.com/es/film135118.html
La llorona,La llorona,2019,97,"Drama, Fantástico, Terror",Guatemala,"6,4",1.510,Jayro Bustamante,"Sabrina De La Hoz, Margarita Kénefic, María Mercedes Coroy, Julio Diaz, Juan Pablo Olyslager, Ayla-Elea Hurtado, María Telón","Con las palabras ""si lloras, te mato"" resonando aún en sus oídos, Alma y sus hijos fueron asesinados en el conflicto armado de Guatemala. Treinta años después, se abre una causa penal contra Enrique Monteverde, un general retirado que estuvo al frente del genocidio. Pero el juicio donde es condenado  es declarado nulo y él es absuelto. Entonces, el espíritu de ""La Llorona"" se libera para vagar por el mundo como un alma perdida entre los vivos.. Por las noches, el ex-militar comienza a escucharla llorar, y su mujer y su hija creen que está sufriendo accesos de demencia senil. (FILMAFFINITY)",https://www.filmaffinity.com/es/film669942.html
Amama,Amama,2015,103,Drama,España,"6,4",1.911,Asier Altuna,"Iraia Elias, Klara Badiola, Kandido Uranga, Amparo Badiola, Ander Lipus, Manu Uranga, Nagore Aranburu, José Ramón Soroiz, Maite Arroitajauregi","Una historia familiar. El conflicto entre lo urbano y lo rural, entre pasado y presente, padres e hijos. Dos formas opuestas de entender la existencia, y una abuela que observa el mundo desde el más elocuente de los silencios. (FILMAFFINITY)",https://www.filmaffinity.com/es/film486279.html
A War (Una guerra),Krigen,2015,115,"Drama, Bélico",Dinamarca,"6,4",1.915,Tobias Lindholm,"Pilou Asbæk, Tuva Novotny, Dar Salim, Søren Malling, Charlotte Munck, Dulfi Al-Jabouri, Alex Høgh Andersen, Jakob Frølund, Phillip Sem Dambæk","El comandante Pedersen se debate entre el cumplimiento de los reglamentos militares, su responsabilidad ante sus hombres y los civiles afganos y su deseo de volver a casa con su esposa y sus tres hijos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film800692.html
Heli,Heli,2013,105,Drama,México,"6,4",2.028,Amat Escalante,"Armando Espitia, Linda González, Andrea Vergara, Reina Torres, Ramón Álvarez, Juan Eduardo Palacios","En un remoto pueblo de México, la población sólo tiene dos medios para ganarse la vida: un empleo mal pagado en una ensambladora de automóviles, donde trabaja Heli (Armando Espitia), o trabajar para el cártel de droga de la región. Estela (Andrea Vergara), una niña de doce años y hermana de Heli, se ha enamorado perdidamente de un joven, Beto (Armando Espitia), un cadete de la policía que le propone escapar para poder casarse.  (FILMAFFINITY)",https://www.filmaffinity.com/es/film103490.html
Speak No Evil,Gæsterne,2022,97,"Intriga, Thriller, Terror",Dinamarca,"6,4",2.238,Christian Tafdrup,"Morten Burian, Sidsel Siem Koch, Fedja van Huêt, Karina Smulders, Liva Forsberg, Marius Damslev, Hichem Yacoubi, Lea Baastrup Rønne",Una familia danesa visita a una familia holandesa que conocieron en unas vacaciones. Lo que se suponía que iba a ser un fin de semana idílico comienza a desmoronarse lentamente mientras los daneses intentan ser educados ante lo desagradables que empiezan a ser los neerlandeses. (FILMAFFINITY),https://www.filmaffinity.com/es/film634122.html
La sociedad literaria y el pastel de piel de patata,The Guernsey Literary and Potato Peel Pie Society,2018,124,"Drama, Romance",Reino Unido,"6,4",4.300,Mike Newell,"Lily James, Michiel Huisman, Glen Powell, Jessica Brown Findlay, Tim Ingall, Matthew Goode, Tom Courtenay, Penelope Wilton","En 1946 una escritora de espíritu libre, Juliet Ashton, establece una amistad con los residentes de Guernsey Island tras la Segunda Guerra Mundial, y decide escribir un libro sobre sus experiencias durante la guerra. (FILMAFFINITY)",https://www.filmaffinity.com/es/film538187.html
Los principios del cuidado,The Fundamentals of Caring,2016,93,Drama,Estados Unidos,"6,4",5.954,Rob Burnett,"Paul Rudd, Craig Roberts, Selena Gomez, Jennifer Ehle, Megan Ferguson, Ashley White, Patti Schellhaas, Blake Sewell","Ben es un escritor retirado que decide dedicarse a cuidar enfermos tras pasar una tragedia personal. Después de 6 semanas de formación, conoce a su primer cliente, Trevor, un deslenguado chico de 18 años con distrofia muscular. Al poco tiempo, se embarcan con sus parálisis respectivas, uno emocional y el otro física, en un viaje improvisado a todos los sitios que más le han llamado la atención a Trevor en las noticias de la televisión, entre los que destaca especialmente el ""Hoyo más profundo del mundo"". (FILMAFFINITY)",https://www.filmaffinity.com/es/film841409.html
Tully,Tully,2018,94,Drama,Estados Unidos,"6,4",9.116,Jason Reitman,"Charlize Theron, Mackenzie Davis, Ron Livingston, Mark Duplass, Elaine Tan, Asher Miles Fallica, Lia Frankland, Gameela Wright","Marlo (Charlize Theron) es una madre con tres hijos, el último recién nacido, que recibe un inesperado regalo de parte de su hermano (Mark Duplass): una niñera para que le ayude por las noches. Al principio le parece una extravagancia, pero Marlo acaba teniendo una relación única con Tully (Mackenzie Davis), una joven niñera amable, sorprendente y, en ocasiones, difícil. (FILMAFFINITY)",https://www.filmaffinity.com/es/film636398.html
Fuerza mayor,Turist (Tourist) (Force Majeure),2014,117,Drama,Suecia,"6,4",9.596,Ruben Östlund,"Johannes Kuhnke, Lisa Loven, Vincent Wettergren, Clara Wettergren, Kristofer Hivju, Fanni Metelius, Karin Myrenberg, Brady Corbet","Una familia pasa las vacaciones de invierno en los Alpes. El sol brilla y las pistas están magníficas, pero mientras comen en un restaurante, se produce una avalancha que asusta a los clientes. La madre llama a su marido para que la ayude a salvar a sus hijos, pero él ha huido para salvar su vida. La avalancha se detiene delante del restaurante, sin ocasionar daños, pero el universo familiar ya se ha resquebrajado. Tomas buscará desesperadamente recuperar su lugar de padre de familia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film191760.html
Batman: La LEGO película,The LEGO Batman Movie,2017,104,"Animación, Comedia, Aventuras",Estados Unidos,"6,4",10.535,Chris McKay,,"Spin-off de ""La LEGO Película"", protagonizado por Batman. En esta ocasión, el irreverente Batman, que también tiene algo de artista frustrado, intentará salvar la ciudad de Gotham de un peligroso villano, el Joker. Pero no podrá hacerlo solo, y tendrá que aprender a trabajar con sus demás aliados. (FILMAFFINITY)",https://www.filmaffinity.com/es/film750144.html
Silencio,Silence,2016,159,Drama,Estados Unidos,"6,4",15.685,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson, Ciarán Hinds, Issei Ogata, Tadanobu Asano, Shinya Tsukamoto, Ryo Kase","Segunda mitad del siglo XVII. Dos jóvenes jesuitas portugueses viajan a Japón en busca de su mentor, el conocido misionero Padre Ferreira. Los últimos rumores indican que, tras ser perseguido y torturado, Ferreira ha renunciado a su fe, algo difícil de creer para los sacerdotes que parten en su búsqueda. En Japón ellos mismos vivirán el suplicio y la violencia con que las autoridades japonesas persiguen a los cristianos, a los que torturan hasta apostatar o morir. (FILMAFFINITY)",https://www.filmaffinity.com/es/film556741.html
No respires,Don't Breathe,2016,88,"Thriller, Terror",Estados Unidos,"6,4",27.333,Fede Álvarez,"Jane Levy, Dylan Minnette, Stephen Lang, Daniel Zovatto, Sergej Onopko, Jane May Graves, Katia Bokor, Christian Zagia","Unos jóvenes ladrones creen haber encontrado la oportunidad de cometer el robo perfecto. Su objetivo será un ciego solitario, poseedor de miles de dólares ocultos. Pero tan pronto como entran en su casa serán conscientes de su error, pues se encontrarán atrapados y luchando por sobrevivir contra un psicópata con sus propios y temibles secretos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film609968.html
It,It,2017,135,"Terror, Fantástico",Estados Unidos,"6,4",35.906,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Sophia Lillis, Finn Wolfhard, Wyatt Oleff, Jeremy Ray Taylor, Jack Dylan Grazer, Chosen Jacobs","Cuando empiezan a desaparecer niños en el pueblo de Derry (Maine), un pandilla de amigos lidia con sus mayores miedos al enfrentarse a un malvado payaso llamado Pennywise, cuya historia de asesinatos y violencia data de siglos. Adaptación cinematográfica de la conocida novela de Stephen King ""It"". (FILMAFFINITY)",https://www.filmaffinity.com/es/film312346.html
Viento de libertad,Ballon,2018,120,"Thriller, Drama",Alemania,"6,3",1.281,Michael Herbig,"Friedrich Mücke, Karoline Schuch, Alicia von Rittberg, David Kross, Thomas Kretschmann, Jonas Holdenrieder, Ronald Kukulies, Emily Kusche",En los años 80 dos familias alemanas de la Alemania oriental (RDA) intentan pasar a la Alemania occidental (RFA) en un globo aerostático casero.,https://www.filmaffinity.com/es/film785827.html
Las herederas,Las herederas,2018,97,Drama,Paraguay,"6,3",1.400,Marcelo Martinessi,"Ana Brun, Margarita Irún, Ana Ivanova, Nilda González, María Martins, Alicia Guerra","Narra la historia de dos mujeres de alta alcurnia de la sociedad paraguaya que heredaron suficiente patrimonio para vivir cómodamente. Pero a sus 60 años, el dinero ya no alcanza y la situación de ambas cambia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film410850.html
Tu mejor amigo: un nuevo viaje,A Dog's Journey,2019,108,"Drama, Comedia",Estados Unidos,"6,3",1.502,Gail Mancuso,"Dennis Quaid, Marg Helgenberger, Betty Gilpin, Kathryn Prescott, Jake Manley, Henry Lau, Abby Ryder Fortson, Ian Chen","Narra  la historia de Bailey, un perro leal que encuentra el significado de su propia existencia a través de la vida de los humanos a los que les enseña a reír y amar. (FILMAFFINITY)",https://www.filmaffinity.com/es/film837388.html
Conociendo a Astrid,Unga Astrid,2018,123,Drama,Suecia,"6,3",1.535,Pernille Fischer Christensen,"Alba August, Trine Dyrholm, Björn Gustafsson, Magnus Krepper, Maria Bonnevie, Henrik Rafaelsen, Liv LeMoyne, Sofia Karemyr","Biopic de la escritora sueca Astrid Lindgren, creadora de Pippi Calzaslargas, que acabó convirtiéndose en un fenómeno mundial para varias generaciones de niños y adultos. Según confesiones de la propia Astrid, se sabe que el nombre de 'Pippi' lo concibió cuando su hijo de siete años, enfermo de una infección pulmonar en el invierno de 1941, le pidió que le narrara, a fin de matar el tedio en sus horas de encierro, las aventuras de una niña llamada ""Pippi Calzaslargas"". Dos años después, mientras Astrid Lindgren reposaba de una fractura en la pierna, aprovechó su tiempo para escribir las aventuras de esta niña traviesa que pronto daría la vuelta el mundo y se convertiría en un símbolo feminista.",https://www.filmaffinity.com/es/film640704.html
Queen & Slim,Queen & Slim,2019,132,Drama,Estados Unidos,"6,3",1.710,Melina Matsoukas,"Daniel Kaluuya, Jodie Turner-Smith, Chloë Sevigny, Bokeem Woodbine, Gralen Bryant Banks, Roger Petan, Kenneth Kynt Bryan, Sturgill Simpson","Durante la primera cita de una pareja de afroamericanos, sin motivo aparente, ambos son detenidos por la policía. Tras asesinar al agente en defensa propia, juntos se darán a la fuga, propiciando así una huida desesperada de las autoridades. (FILMAFFINITY)",https://www.filmaffinity.com/es/film749239.html
Hater,Sala samobójców. Hejter,2020,135,"Thriller, Drama",Polonia,"6,3",4.323,Jan Komasa,"Maciej Musialowski, Vanessa Aleksander, Danuta Stenka, Jacek Koman, Agata Kulesza, Maciej Stuhr, Adam Gradowski, Piotr Biedron","Narra las manipulaciones del maquiavélico Tomek para conseguir el amor de Gabi, una chica que está en un estatus social por encima del suyo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film261088.html
